<pre>DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
34:08.1,36.0105,-120.99017,-0.576,1.9,Mx,13,222,52,0.21,NCSN,1001140
34:56.1,36.06267,-120.59717,11.523,2.87,Md,5,173,11,0.01,NCSN,1002100
32:47.9,35.812,-120.367,7.856,2.3,Md,4,243,2,0.01,NCSN,1002102
42:47.3,35.99567,-120.53717,10.823,3.8,ML,6,169,8,0.01,NCSN,1002122
53:23.4,35.94467,-120.47633,10.686,2.19,Md,4,233,0,0,NCSN,1002127
01:06.9,36.075,-120.62317,9.953,2.31,Md,5,174,8,0.02,NCSN,1002130
00:44.2,35.848,-120.38116,4.376,2.76,Md,4,164,3,0,NCSN,1002151
45:30.3,35.92317,-120.73583,4.352,3,ML,5,189,24,0.79,NCSN,1002195
33:35.4,35.878,-120.427,19.833,2.6,Md,4,157,1,0.02,NCSN,1002284
23:48.8,36.0815,-120.97867,4.538,2.32,Md,6,203,29,0.04,NCSN,1002291
50:18.1,36.01167,-120.88717,3.243,1.99,Md,4,292,25,0.01,NCSN,1002328
13:16.9,36.0315,-120.58867,6.77,1.85,Md,4,168,14,0,NCSN,1002342
40:03.2,36.0935,-120.67367,5.99,2.17,Md,5,148,5,0.03,NCSN,1002345
49:25.1,36.08233,-120.72683,2.673,1.54,Md,7,158,9,0.27,NCSN,1002346
29:32.0,35.94817,-120.30583,17.016,1.77,Md,4,290,12,0.08,NCSN,1002353
41:00.3,35.9835,-120.569,1.146,1.64,Md,4,312,10,0.16,NCSN,1002403
29:47.0,35.85867,-120.39817,4.506,1.52,Md,4,155,3,0,NCSN,1002450
55:20.8,35.92216,-120.47083,7.743,1.68,Md,5,136,3,0.01,NCSN,1002452
14:14.9,36.0085,-120.5615,4.722,2.76,Md,4,323,11,0.03,NCSN,1002453
12:01.6,35.95933,-120.5075,4.47,2.37,Md,4,152,3,0,NCSN,1002485
13:56.4,36.2035,-120.7605,8.853,1.96,Md,5,190,11,0.01,NCSN,1002494
54:50.2,35.84867,-120.44033,-0.374,1.66,Md,4,136,4,0.14,NCSN,1002515
00:06.7,35.78283,-120.45084,4.846,2.64,Md,4,245,7,0.13,NCSN,1002518
53:13.0,35.998,-120.231,7.386,1.87,Md,4,315,21,0.04,NCSN,1002629
39:04.2,35.9355,-120.922,4.403,2.19,Md,5,209,33,0.92,NCSN,1002650
49:49.2,35.90833,-120.386,8.29,2.63,Md,4,265,4,0.17,NCSN,1002664
15:37.2,36.00483,-120.41967,12.77,2.26,Md,6,254,8,0.46,NCSN,1002684
30:38.2,35.96817,-120.4935,13.452,2.18,Md,4,219,3,0,NCSN,1002715
30:29.3,36.02017,-120.59817,1.972,1.07,Md,4,208,14,0.01,NCSN,1002720
38:07.5,35.99317,-120.57217,1.887,1.57,Md,4,199,10,0.1,NCSN,1002758
01:06.6,36.00417,-120.56433,1.917,1.8,Md,4,208,10,0.01,NCSN,1002764
05:03.4,36.10683,-120.68567,1.339,1.79,Md,5,132,4,0.05,NCSN,1002765
00:08.5,36.08283,-120.677,-0.226,1.38,Md,5,120,7,0.06,NCSN,1002766
36:50.1,36.17167,-120.58667,11.674,2.38,Md,6,213,8,0.03,NCSN,1002769
33:33.6,35.93783,-120.4735,4.917,1.89,Md,4,141,1,0,NCSN,1002779
28:09.3,36.206,-120.766,7.815,1.97,Md,5,189,39,0.02,NCSN,1002785
16:25.9,35.77417,-120.46033,4.126,1.8,Md,4,258,6,0.06,NCSN,1002795
49:31.5,35.99333,-120.561,5.804,2.63,Md,7,174,9,0.03,NCSN,1002800
59:34.8,35.98267,-120.931,0.164,2.44,Md,6,182,24,0.09,NCSN,1002805
48:42.8,36.001,-120.87883,4.484,1.83,Md,6,169,28,0.06,NCSN,1002812
33:09.2,36.05017,-120.6015,12.214,2.19,Md,6,190,16,0.02,NCSN,1002813
44:30.9,35.81767,-120.3495,6.546,2.17,Md,4,284,2,0,NCSN,1002816
06:33.3,35.7505,-120.272,12.433,3.2,ML,5,328,12,0.01,NCSN,1002821
39:31.3,36.01133,-120.57317,7.24,2.15,Md,5,158,12,0.06,NCSN,1002825
44:04.7,35.9855,-120.53767,4.96,1.68,Md,4,205,7,0,NCSN,1002836
43:27.4,36.3845,-120.96667,12.4,3.4,Md,12,130,26,0.07,NCSN,1002840
16:22.0,36.23667,-120.8175,7.778,1.12,Md,5,190,17,0.03,NCSN,1002875
47:38.9,36.3865,-120.966,2.364,3.68,Md,11,131,26,0.08,NCSN,1002882
22:26.3,36.16283,-120.7395,7.467,3.89,Md,11,128,7,0.05,NCSN,1002902
19:04.3,36.162,-120.74184,9.057,3.54,Md,11,127,7,0.07,NCSN,1002903
42:54.3,36.22433,-120.80483,7.378,3,Md,8,173,16,0.09,NCSN,1002926
15:33.8,35.99517,-120.62366,0.126,2.09,Md,5,156,15,0.06,NCSN,1002944
30:26.7,36.02133,-120.58217,6.273,2.63,Md,6,159,13,0.01,NCSN,1002952
28:11.6,36.3965,-120.94317,0.831,3.08,Md,8,138,24,0.07,NCSN,1002965
55:20.2,35.97117,-120.53117,6.643,2.67,Md,5,154,6,0.01,NCSN,1002971
07:29.5,36.13233,-120.68716,6.22,2.7,Md,9,126,2,0.06,NCSN,1003058
22:31.6,36.23083,-120.81184,13.598,2.58,Md,7,178,16,0.05,NCSN,1003060
30:33.5,36.1,-120.5215,6.59,2.94,Md,6,210,14,0.23,NCSN,1003062
32:33.7,36.18867,-120.771,9.266,3.75,Md,13,135,11,0.09,NCSN,1003080
21:35.5,35.916,-120.80267,9.477,2.52,Md,5,187,29,0.01,NCSN,1003096
21:15.1,35.86583,-120.841,5.609,4.09,Md,8,223,34,0.05,NCSN,1003106
00:57.8,36.21517,-120.33434,6.626,3.3,ML,14,233,32,0.03,NCSN,1003131
45:10.3,36.10217,-120.61383,-0.519,2.41,Md,5,190,6,0.48,NCSN,1003180
59:47.2,36.05467,-120.642,2.02,2.59,Md,4,181,19,0.01,NCSN,1003181
20:04.6,36.16717,-120.759,3.607,2.57,Md,7,149,9,0.07,NCSN,1003236
20:02.7,35.9075,-120.505,1.626,2.85,Md,4,168,5,0.01,NCSN,1003264
42:27.8,35.97967,-120.548,4.155,2.2,Md,5,171,8,0.02,NCSN,1003328
33:03.3,36.01433,-120.906,7.552,3.11,Md,9,202,26,0.1,NCSN,1003333
54:08.3,36.22617,-120.81133,10.698,2.82,Md,12,140,16,0.07,NCSN,1003356
48:53.1,36.03817,-120.87617,14.692,1.7,Md,7,166,22,0.03,NCSN,1003364
57:23.6,35.98767,-120.6085,0.57,1.58,Md,6,156,13,0.05,NCSN,1003371
11:36.5,36.37883,-120.96933,10.221,2.37,Md,9,142,26,0.03,NCSN,1003395
53:22.5,36.2325,-120.82066,1.007,2.35,Md,6,125,16,0.02,NCSN,1003423
56:07.3,36.27517,-120.85367,5.984,2.54,Md,8,121,11,0.12,NCSN,1003428
11:52.6,36.272,-120.84116,6.704,3.75,Md,11,98,11,0.1,NCSN,1003430
11:59.4,36.27633,-120.83683,6.834,3.66,Md,8,130,11,0.1,NCSN,1003432
35:52.5,36.3995,-120.45016,12.165,2.83,Md,12,214,33,0.02,NCSN,1003435
52:21.5,36.381,-120.781,10.683,3.12,Md,5,258,4,0.01,NCSN,1003439
35:35.4,36.2945,-120.76917,10.804,2.49,Md,5,265,10,0.14,NCSN,1003443
13:51.4,35.975,-120.58583,9.53,2.31,Md,6,157,11,0.04,NCSN,1003449
43:01.6,36.38233,-120.967,5.614,2.49,Md,6,136,7,0.02,NCSN,1003473
16:02.5,35.99017,-120.58417,1.896,1.97,Md,6,152,11,0.03,NCSN,1003476
25:33.7,35.91867,-120.50616,5.239,3.5,ML,9,163,9,0.16,NCSN,1003491
54:05.7,35.991,-120.5795,4.755,2.8,Md,7,143,11,0.03,NCSN,1003509
07:58.1,36.0725,-120.65134,4.913,3.2,ML,13,140,8,0.05,NCSN,1003515
25:57.3,36.32217,-120.8885,11.126,3.08,Md,8,101,8,0.06,NCSN,1003555
59:23.3,36.05033,-120.619,5.233,3.36,Md,8,153,11,0.06,NCSN,1003558
24:40.4,35.99833,-120.561,3.659,3.28,Md,8,155,10,0.05,NCSN,1003573
27:25.3,36.00467,-120.556,3.219,3.35,Md,8,160,10,0.03,NCSN,1003574
48:30.5,36.04033,-120.87434,15.155,2.93,Md,11,154,22,0.11,NCSN,1003577
12:28.8,36.00817,-120.56483,-0.277,2.83,Md,8,164,20,0.2,NCSN,1003581
32:29.0,36.30217,-120.866,7.46,2.86,Md,6,121,9,0.01,NCSN,1003590
25:02.5,36.38683,-120.95417,-0.202,2.77,Md,4,151,7,0,NCSN,1003620
21:21.1,36.32733,-120.8765,10.183,2.6,Md,5,180,7,0.04,NCSN,1003705
56:19.0,36.3285,-120.87117,10.483,2.4,Md,5,182,7,0.02,NCSN,1003713
51:37.5,36.0115,-120.58134,6.899,2.87,Md,6,154,12,0.01,NCSN,1003744
54:41.4,36.00683,-120.6065,2.023,0.97,Md,4,199,14,0.09,NCSN,1003745
49:50.4,36.0765,-120.987,7.437,3.25,Md,9,149,16,0.05,NCSN,1003758
36:55.4,36.236,-120.8415,5.62,2.96,Md,6,140,15,0.01,NCSN,1003809
54:31.3,36.00317,-120.5935,1.707,1.98,Md,5,142,13,0.06,NCSN,1003826
40:14.8,36.002,-120.59267,2.113,1.78,Md,6,142,12,0.12,NCSN,1003848
39:34.8,35.99083,-120.55334,1.417,1.63,Md,4,204,9,0.02,NCSN,1003873
18:01.0,36.338,-120.91566,4.428,2.32,Md,4,155,10,0.02,NCSN,1003932
55:08.0,36.39683,-120.98383,4.729,2.44,Md,7,106,4,0.01,NCSN,1003950
00:45.4,35.75117,-120.40933,2.45,3.1,ML,6,137,10,0.01,NCSN,1003964
